,City,latitude,Temperature,Humidity,Cloudiness,Wind Speed
119,pimenta bueno,-11.68,69.24,65.0,0.0,2.95
120,uberlingen,47.77,61.27,100.0,88.0,2.51
121,ilulissat,69.22,39.2,86.0,75.0,3.18
122,kajaani,64.22,64.4,82.0,0.0,1.12
123,pontianak,-0.02,87.8,62.0,20.0,6.93
124,hithadhoo,-0.6,75.45,100.0,92.0,6.08
125,tarija,-21.53,55.4,58.0,0.0,2.17
126,inirida,3.87,74.82,95.0,64.0,2.39
127,nikolskoye,59.7,68.0,94.0,90.0,2.24
128,flinders,-34.58,62.6,27.0,0.0,9.17
129,bambanglipuro,-7.95,79.77,74.0,56.0,7.31
130,ambovombe,-25.18,64.11,83.0,12.0,14.7
131,cazaje,,,,,
132,kieta,-6.22,78.15,100.0,88.0,4.07
133,sivaki,52.63,74.01,77.0,48.0,5.64
134,codrington,-28.95,63.12,71.0,0.0,3.4
135,tura,25.52,78.42,98.0,92.0,4.07
136,hanmer springs,-42.52,37.65,100.0,92.0,3.4
137,corn island,12.17,82.38,96.0,80.0,19.73
138,kaitangata,-46.28,43.59,99.0,92.0,12.35
139,nantucket,41.28,70.16,100.0,40.0,14.99
140,sentyabrskiy,,,,,
141,ribeira grande,38.52,71.94,100.0,100.0,15.26
142,norman wells,65.28,73.4,43.0,75.0,10.29
143,strezhevoy,60.73,66.2,52.0,0.0,4.47
144,enshi,30.29,86.97,54.0,32.0,3.51
145,tomatlan,19.93,75.81,98.0,76.0,2.06
146,prince rupert,54.32,55.4,93.0,90.0,4.7
147,balkanabat,39.51,82.02,44.0,24.0,1.83
148,erzin,36.95,79.05,83.0,20.0,1.39
149,kikwit,-5.04,64.92,62.0,0.0,5.19
150,kavieng,-2.57,82.11,100.0,76.0,1.39
151,nanortalik,60.14,37.74,95.0,0.0,5.75
152,arraial do cabo,-22.97,67.62,99.0,8.0,3.96
153,shieli,44.18,73.74,58.0,0.0,18.5
154,zholymbet,51.74,52.95,93.0,92.0,12.46
155,bondo,3.81,69.51,100.0,8.0,2.06
156,faya,18.39,68.88,73.0,40.0,8.05
157,santander,9.42,87.8,70.0,90.0,9.17
158,makakilo city,21.35,81.52,78.0,90.0,6.93
159,tuktoyaktuk,69.44,69.8,64.0,20.0,8.05
160,kulhudhuffushi,6.62,81.75,100.0,80.0,19.73
161,lagoa,37.14,66.2,82.0,0.0,4.85
162,cayenne,4.94,75.2,100.0,76.0,1.12
163,luangwa,-15.62,61.95,82.0,64.0,11.45
164,chokurdakh,70.62,56.1,69.0,100.0,11.79
165,north bend,43.41,54.43,93.0,90.0,11.41
166,east london,-33.02,62.6,36.0,0.0,10.29
167,mindelo,41.31,64.4,93.0,75.0,12.75
168,salunayan,7.15,82.65,92.0,48.0,4.97
169,warqla,,,,,
170,roros,62.57,50.0,100.0,20.0,2.24
171,kavaratti,10.57,83.01,95.0,36.0,26.22
172,tingi,-11.3,65.28,100.0,20.0,14.47
173,salalah,17.01,77.0,94.0,90.0,4.7
174,bahia blanca,-38.72,37.29,88.0,0.0,11.68
175,skole,49.04,57.45,88.0,0.0,2.28
176,marivan,35.52,58.53,58.0,0.0,1.28
177,thompson,55.74,64.4,88.0,90.0,5.82
178,sibu,2.29,89.6,62.0,40.0,5.82
179,amderma,,,,,
180,ksenyevka,,,,,
181,katsuura,33.93,91.4,63.0,40.0,13.87
182,aswan,24.09,74.91,47.0,0.0,4.63
183,abilene,32.45,89.6,29.0,1.0,8.05
184,saldanha,41.42,59.34,75.0,0.0,5.53
185,gweta,-20.21,53.94,77.0,0.0,16.15
186,webuye,0.62,53.6,87.0,40.0,8.05
187,sinnamary,5.38,81.03,95.0,76.0,10.11
188,nakanojo,36.61,85.44,49.0,0.0,2.84
189,jamestown,-33.21,60.6,47.0,20.0,20.07
190,gurupi,-11.73,68.25,62.0,0.0,3.51
191,pisco,-13.71,64.4,82.0,90.0,8.05
192,freistadt,48.51,62.6,93.0,40.0,10.29
193,khani,41.96,69.8,94.0,75.0,3.36
194,kamenskoye,,,,,
195,dubai,25.27,95.0,59.0,0.0,3.36
196,cleburne,32.35,96.82,28.0,1.0,11.41
197,praia da vitoria,38.73,69.8,88.0,75.0,12.68
198,anori,-3.74,81.57,56.0,32.0,4.07
199,dingle,11.0,79.59,93.0,88.0,11.23
200,ushtobe,45.25,84.36,32.0,68.0,9.1
201,faanui,-16.48,79.32,100.0,64.0,11.12
202,nome,30.04,81.01,83.0,1.0,4.7
203,hambantota,6.12,81.75,94.0,12.0,16.04
204,touros,-5.2,75.09,83.0,32.0,18.84
205,manzanillo,20.34,81.75,100.0,12.0,3.74
206,manokwari,-0.87,81.84,100.0,88.0,6.2
207,eyl,7.98,78.42,76.0,0.0,21.85
208,mehamn,71.03,48.2,100.0,90.0,2.24
209,altoona,40.52,68.72,88.0,75.0,3.36
210,port elizabeth,39.31,78.44,88.0,90.0,11.41
211,zeerust,-25.54,42.8,70.0,0.0,6.93
212,tougue,11.45,66.63,95.0,88.0,3.18
213,xuanzhou,30.95,84.27,83.0,48.0,10.0
214,monrovia,6.33,73.4,94.0,40.0,3.4
215,batemans bay,-35.71,54.48,80.0,0.0,3.96
216,stromness,42.87,71.2,88.0,90.0,8.05
217,carnarvon,-30.97,46.92,52.0,8.0,13.47
218,riachao das neves,-11.75,64.29,39.0,0.0,7.99
219,saint-philippe,45.36,72.45,83.0,1.0,6.93
220,high level,58.52,64.4,42.0,75.0,8.05
221,pevek,69.7,49.8,83.0,8.0,6.31
222,nizhneyansk,,,,,
223,havre-saint-pierre,50.23,60.8,100.0,90.0,2.62
224,bathsheba,13.22,80.6,74.0,40.0,16.11
225,yambio,,,,,
226,port blair,11.67,81.57,100.0,76.0,19.84
227,sao filipe,14.9,75.18,99.0,36.0,10.89
228,laizhou,37.18,77.52,100.0,92.0,20.74
229,kosh-agach,49.99,59.97,67.0,0.0,3.4
230,goderich,43.74,63.84,97.0,88.0,11.45
231,latehar,23.74,76.44,100.0,92.0,6.76
232,sarny,51.32,66.27,91.0,92.0,13.47
233,ferkessedougou,9.6,70.77,96.0,8.0,5.97
234,tiebissou,7.16,72.41,94.0,0.0,4.7
235,tilichiki,60.47,63.75,82.0,8.0,6.31
236,matata,-37.89,56.1,100.0,8.0,11.56
237,vila velha,-3.71,80.6,74.0,75.0,16.11
238,kurilsk,45.23,55.47,93.0,64.0,8.43
239,rossosh,50.2,66.81,93.0,32.0,2.62
240,tigil,57.8,78.42,39.0,0.0,11.79
241,barrow,-38.31,35.31,75.0,0.0,12.68
242,suicheng,33.9,82.2,95.0,92.0,3.51
243,alofi,-19.06,77.0,69.0,0.0,13.87
244,kahului,20.89,79.3,74.0,40.0,17.22
245,kruisfontein,-34.0,68.61,50.0,0.0,13.02
246,sumbawanga,-7.95,50.0,87.0,5.0,5.82
247,nizwa,22.93,81.75,44.0,0.0,5.41
248,tanggu,,,,,
249,ancud,-41.87,43.77,95.0,92.0,4.63
250,andenes,,,,,
251,biak,-0.91,78.87,96.0,44.0,5.19
252,georgetown,6.8,75.2,100.0,20.0,4.7
253,shubarkuduk,49.15,64.65,35.0,12.0,18.28
254,chiredzi,-21.05,56.55,96.0,48.0,4.97
255,falealupo,,,,,
256,itarema,-2.92,78.6,82.0,44.0,15.37
257,dzilam gonzalez,21.28,79.32,87.0,12.0,4.41
258,sao jose da coroa grande,-8.9,73.83,83.0,68.0,11.45
259,belushya guba,,,,,
260,sao joao da barra,-21.64,74.01,97.0,8.0,4.29
261,mandleshwar,22.18,73.4,100.0,75.0,12.75
262,ornes,49.25,62.6,72.0,0.0,5.82
263,seddon,-41.67,48.0,100.0,92.0,6.2
264,tautira,-17.73,82.4,61.0,20.0,5.82
265,gat,14.69,78.8,94.0,76.0,3.06
266,san ramon,12.92,72.21,75.0,24.0,4.52
267,steinbach,49.53,71.6,88.0,40.0,11.41
268,phatthalung,7.62,87.8,70.0,40.0,6.93
269,phalombe,-15.81,47.37,92.0,8.0,3.18
270,ostrovnoy,68.05,70.05,82.0,56.0,18.05
271,sisimiut,66.94,38.37,93.0,0.0,2.06
272,torbay,47.66,62.6,100.0,90.0,17.22
273,oudtshoorn,-33.59,73.4,27.0,0.0,10.29
274,kamenka,53.19,59.25,96.0,92.0,14.25
275,bridlington,54.08,64.96,82.0,0.0,3.36
276,mago,53.27,70.05,63.0,12.0,3.85
277,kem,2.68,62.85,98.0,68.0,4.18
278,kargopol,61.51,65.91,69.0,0.0,10.22
279,geraldton,49.72,66.2,59.0,20.0,4.7
280,marfino,56.07,64.4,93.0,90.0,13.42
281,pericos,25.08,91.4,55.0,75.0,9.17
282,yulara,-25.24,75.2,23.0,40.0,6.93
283,magnitogorsk,53.42,55.4,71.0,0.0,8.95
284,vanimo,-2.67,80.4,100.0,56.0,2.95
285,maltahohe,-24.83,45.39,59.0,32.0,9.66
286,sambava,-14.27,70.5,100.0,76.0,23.98
287,san quintin,17.54,86.0,74.0,40.0,6.93
288,sabzevar,36.21,83.1,36.0,80.0,6.87
289,gazojak,41.19,85.26,38.0,0.0,13.47
290,attawapiskat,,,,,
291,yigou,35.81,91.29,61.0,24.0,17.6
292,samusu,,,,,
293,cidreira,-30.17,56.64,92.0,92.0,4.97
294,puerto colombia,10.99,80.6,83.0,75.0,6.93
295,capanema,-25.67,64.42,88.0,0.0,4.7
296,labutta,,,,,
297,samarai,-10.62,78.15,100.0,36.0,12.24
298,rabo de peixe,37.8,69.8,83.0,75.0,2.24
299,malanje,-9.54,56.01,61.0,0.0,6.98
300,evinayong,1.44,70.32,99.0,92.0,2.39
301,namanyere,-7.51,46.47,80.0,0.0,5.97
302,salta,-24.79,49.46,52.0,0.0,8.05
303,slave lake,55.28,60.8,72.0,75.0,8.05
304,pandan,11.72,79.05,100.0,88.0,17.94
305,souillac,45.6,59.81,93.0,0.0,3.74
306,fort nelson,58.81,68.0,37.0,40.0,6.93
307,hastings,-39.64,57.9,73.0,24.0,12.24
308,la ronge,55.1,62.6,82.0,75.0,10.29
309,keshan,,,,,
310,saskylakh,71.97,43.23,78.0,48.0,13.02
311,pasni,25.26,84.54,95.0,92.0,9.33
312,half moon bay,37.46,69.24,93.0,90.0,6.93
313,lompoc,34.64,63.68,87.0,40.0,8.05
314,ilebo,-4.33,72.21,67.0,0.0,2.73
315,maneadero,,,,,
316,teknaf,20.86,75.72,100.0,92.0,5.64
317,obidos,39.36,64.4,82.0,20.0,9.17
318,berlevag,70.86,48.2,100.0,90.0,2.24
319,khanpur,28.65,90.75,61.0,68.0,4.63
320,coquimbo,-29.95,46.4,87.0,0.0,4.7
321,marsa matruh,31.35,71.49,94.0,0.0,9.33
322,shemgang,27.22,71.49,92.0,64.0,1.95
323,felipe carrillo puerto,19.58,83.73,58.0,0.0,6.42
324,rockport,28.02,81.81,88.0,1.0,9.17
325,petropavlovsk-kamchatskiy,53.05,62.6,82.0,75.0,11.18
326,erenhot,43.65,70.41,93.0,64.0,10.22
327,pionerskiy,61.2,70.59,49.0,0.0,3.51
328,lucapa,-8.42,55.02,55.0,0.0,6.53
329,sioux lookout,50.1,70.86,68.0,75.0,5.82
330,waipawa,-39.94,53.31,57.0,0.0,16.04
331,san martin,-0.3,50.0,87.0,40.0,11.41
332,oga,8.18,73.11,95.0,68.0,6.76
333,stepnogorsk,52.35,50.16,100.0,92.0,18.5
334,port-gentil,-0.72,73.29,99.0,92.0,12.35
335,oistins,13.07,80.6,74.0,40.0,16.11
336,filadelfia,-22.35,59.52,81.0,0.0,4.85
337,bingol,38.88,55.47,86.0,0.0,2.39
338,dunedin,-45.87,43.86,89.0,92.0,5.97
339,poya,-21.35,70.68,100.0,36.0,12.24
340,bahar,34.91,66.99,44.0,92.0,2.51
341,sonoita,31.68,90.25,35.0,1.0,9.17
342,washington,38.9,72.16,88.0,90.0,4.7
343,vestmannaeyjar,63.44,44.85,98.0,0.0,2.28
344,mvuma,-19.28,44.49,93.0,32.0,9.44
345,atyrau,47.1,78.8,50.0,0.0,17.9
346,spas-klepiki,55.13,64.11,91.0,88.0,15.93
347,stockton-on-tees,54.56,62.17,93.0,20.0,1.12
348,kisangani,0.52,73.56,89.0,68.0,4.18
349,marrakesh,31.63,68.0,72.0,0.0,5.82
350,pemba,-12.97,77.88,99.0,56.0,22.3
351,quelimane,-17.88,63.84,80.0,48.0,7.99
352,mayo,63.59,80.6,28.0,40.0,2.24
353,andros town,24.73,78.8,88.0,75.0,3.36
354,yuanping,38.72,76.08,79.0,0.0,3.18
355,las choapas,17.91,82.2,87.0,100.0,11.68
356,noumea,-22.28,77.0,53.0,75.0,10.29
357,praia,-20.25,57.2,82.0,0.0,3.36
358,axim,4.87,77.25,99.0,76.0,8.77
359,pinega,64.7,73.56,44.0,0.0,7.2
360,son la,21.32,78.24,87.0,24.0,1.95
361,grand river south east,,,,,
362,lubango,-14.92,47.64,73.0,0.0,3.29
363,silver city,32.77,84.2,28.0,1.0,8.05
364,saint pete beach,27.73,77.04,88.0,75.0,11.41
365,thinadhoo,0.53,78.69,100.0,92.0,4.74
366,naze,5.43,73.11,97.0,92.0,4.97
367,robertson,-33.8,60.87,41.0,0.0,7.43
368,damara,4.96,73.4,100.0,64.0,2.24
369,uyemskiy,64.47,66.2,77.0,0.0,4.47
370,camacha,33.08,69.01,82.0,40.0,5.82
371,havoysund,71.0,50.0,93.0,75.0,2.24
372,pawai,24.27,76.89,100.0,88.0,4.18
373,zyryanka,65.73,77.52,44.0,80.0,7.65
374,meadow lake,54.13,59.25,62.0,76.0,12.8
375,diego de almagro,-26.39,49.71,82.0,0.0,3.18
376,sao geraldo do araguaia,-6.4,73.11,78.0,20.0,1.83
377,broome,52.47,61.54,93.0,68.0,4.7
378,rawannawi,,,,,
379,urumqi,,,,,
380,bagan,54.1,57.45,97.0,92.0,10.67
381,lingao,19.91,79.05,100.0,92.0,13.02
382,klaksvik,62.23,50.0,100.0,8.0,4.7
383,loanda,-22.93,66.27,80.0,44.0,3.62
384,saint-pierre,48.95,58.66,77.0,0.0,6.93
385,whitehorse,60.72,80.6,22.0,75.0,9.17
386,chagda,,,,,
387,kurumkan,54.33,61.14,54.0,0.0,2.39
388,eydhafushi,5.1,81.3,100.0,48.0,20.07
389,louisbourg,,,,,
390,asau,,,,,
391,ouadda,8.07,69.24,91.0,80.0,3.62
392,tuatapere,-46.13,44.67,100.0,88.0,11.01
393,iacu,-12.77,61.95,95.0,92.0,4.97
394,shumskiy,54.83,61.05,84.0,48.0,2.95
395,omboue,-1.57,72.39,100.0,76.0,10.22
396,dekar,-21.53,47.1,89.0,0.0,10.67
397,hihifo,,,,,
398,camana,,,,,
399,arman,59.7,80.6,39.0,56.0,8.95
400,egvekinot,66.32,53.13,86.0,80.0,3.4
401,tsihombe,,,,,
402,ishigaki,24.34,86.0,84.0,75.0,8.05
403,alihe,50.57,72.75,75.0,44.0,7.43
404,ust-kut,56.78,56.91,81.0,92.0,3.06
405,price,39.6,82.4,34.0,1.0,10.29
406,husavik,50.56,64.65,100.0,56.0,5.75
407,urengoy,65.96,72.03,73.0,8.0,12.35
408,raga,,,,,
409,kushima,31.5,86.85,84.0,20.0,9.17
410,qarqin,37.41,89.49,25.0,0.0,6.76
411,bandar,-4.2,85.89,71.0,12.0,4.41
412,auki,12.18,73.29,90.0,20.0,5.86
413,mahibadhoo,3.78,80.13,100.0,92.0,20.18
414,west bay,50.71,59.94,100.0,20.0,1.12
415,oussouye,12.49,75.2,100.0,75.0,4.7
416,benguela,-12.58,68.16,100.0,48.0,6.64
417,baicoi,45.03,66.2,93.0,40.0,9.17
418,maumere,-8.63,82.83,95.0,8.0,6.87
419,gold coast,-28.0,68.0,52.0,36.0,11.41
420,manta,45.1,59.52,91.0,20.0,2.84
421,piacabucu,-10.41,71.85,84.0,8.0,10.22
422,lewistown,40.39,68.05,93.0,40.0,8.55
423,maningrida,-12.05,81.75,58.0,8.0,9.44
424,kudahuvadhoo,2.67,76.98,100.0,92.0,15.59
425,hervey bay,-25.3,67.8,86.0,24.0,3.4
426,richards bay,-28.77,62.13,79.0,0.0,11.56
427,kailua,21.39,81.54,78.0,90.0,6.93
428,ucluelet,48.94,69.69,65.0,0.0,1.5
429,port said,25.34,71.76,39.0,0.0,2.73
430,kuche,,,,,
431,la paz,24.15,87.8,40.0,5.0,16.11
432,caravelas,-17.73,74.64,100.0,32.0,11.79
433,westport,53.8,60.87,98.0,92.0,9.66
434,longyearbyen,78.22,44.6,87.0,75.0,9.17
435,saint george,39.45,77.0,36.0,0.0,6.93
436,pontian kecil,1.48,88.27,70.0,75.0,10.29
437,nagato,34.35,88.39,84.0,20.0,9.17
438,teya,21.05,82.4,69.0,20.0,9.17
439,leningradskiy,69.38,36.03,100.0,0.0,13.35
440,hokitika,-42.72,50.43,92.0,88.0,10.22
441,ixtapa,20.71,86.0,84.0,75.0,4.7
442,fairbanks,64.84,87.17,22.0,1.0,3.36
443,nacogdoches,31.6,88.25,46.0,1.0,3.36
444,creel,27.75,70.32,46.0,88.0,0.72
445,bay-khaak,51.16,69.24,59.0,0.0,2.51
446,west wendover,40.74,86.0,25.0,1.0,5.82
447,kargasok,59.06,59.7,53.0,8.0,7.09
448,fukue,35.03,93.2,63.0,40.0,8.05
449,orono,44.97,69.94,82.0,1.0,4.41
450,salmas,38.2,62.6,72.0,20.0,6.93
451,janoshida,47.38,64.99,100.0,0.0,2.24
452,ondorhaan,,,,,
453,leh,34.16,40.17,80.0,88.0,1.95
454,elizabeth city,36.3,77.16,78.0,75.0,13.35
455,kilimatinde,-5.75,49.35,87.0,0.0,2.95
456,airai,-8.93,79.14,49.0,8.0,1.72
457,ondangwa,-17.91,53.49,42.0,0.0,12.8
458,durban,43.54,60.21,87.0,0.0,4.7
459,mount isa,-20.73,78.8,9.0,0.0,6.93
460,saint anthony,43.97,73.4,29.0,1.0,6.93
461,tabou,4.42,76.62,100.0,92.0,7.09
462,cockburn town,21.46,82.29,98.0,12.0,17.49
463,namibe,-15.19,66.18,100.0,0.0,13.47
464,trairi,-3.28,79.59,100.0,56.0,21.3
465,la serena,-29.9,46.4,87.0,0.0,4.7
466,tessalit,20.2,79.68,40.0,0.0,10.0
467,raska,43.29,62.6,100.0,0.0,1.12
468,kargil,34.56,32.25,99.0,88.0,1.16
469,upington,-28.46,57.2,44.0,0.0,11.41
470,chumikan,54.72,54.3,93.0,76.0,4.41
471,kenora,49.76,72.55,68.0,75.0,6.93
472,trofors,65.54,56.32,100.0,92.0,13.87
473,moose factory,51.26,50.0,87.0,1.0,4.7
474,belyy yar,53.6,75.2,57.0,0.0,4.74
475,poronaysk,49.22,69.6,80.0,12.0,2.17
476,grand gaube,-20.01,69.8,60.0,20.0,8.05
477,dali,25.6,65.82,98.0,92.0,1.61
478,lebu,8.96,55.4,100.0,75.0,2.24
479,santa cruz de la palma,28.68,69.8,64.0,44.0,11.41
480,derzhavinsk,51.1,60.24,50.0,0.0,15.7
481,bang rakam,16.75,82.4,78.0,75.0,2.24
482,alekseyevka,53.25,62.6,59.0,40.0,11.18
483,tabas,33.6,86.34,28.0,0.0,6.98
484,mondlo,-27.96,31.71,77.0,0.0,2.62
485,sabang,13.72,79.95,99.0,92.0,11.12
486,lexington,38.05,68.52,88.0,40.0,4.7
487,male,50.74,64.02,99.0,76.0,7.54
488,ginir,7.14,57.99,84.0,20.0,11.34
489,isangel,-19.55,71.4,100.0,80.0,14.92
490,tonekabon,36.82,77.81,83.0,90.0,1.39
491,qaqortoq,60.72,46.4,70.0,0.0,4.7
492,totness,33.74,78.04,83.0,1.0,4.7
493,roma,41.89,72.18,88.0,40.0,1.12
494,vila franca do campo,37.72,69.8,83.0,75.0,2.24
495,ereymentau,51.62,51.87,96.0,80.0,9.89
496,knysna,-34.04,73.4,27.0,0.0,10.29
497,ulaangom,49.98,64.29,69.0,0.0,2.84
498,emerald,-23.53,73.65,31.0,0.0,7.09
499,usinsk,66.0,72.3,50.0,0.0,5.75
500,trojes,41.76,73.4,88.0,75.0,2.24
501,amahai,-3.31,78.24,100.0,88.0,11.45
502,chapais,49.78,66.2,82.0,90.0,8.05
503,biharamulo,-2.64,55.47,73.0,0.0,6.31
504,yanchukan,,,,,
505,yar-sale,66.83,66.9,63.0,0.0,7.43
506,portland,45.52,88.56,27.0,20.0,6.93
507,tutoia,-2.76,76.17,92.0,44.0,4.63
508,katangli,51.71,53.22,90.0,32.0,3.96
509,svelgen,61.77,57.2,93.0,75.0,9.17
510,krasnyy chikoy,50.36,68.07,67.0,8.0,3.06
511,tabuk,17.41,79.77,81.0,48.0,0.6
512,klyuchi,52.25,57.45,100.0,92.0,5.41
513,bulawayo,-20.16,48.54,84.0,32.0,10.45
514,gonen,33.12,76.28,83.0,20.0,2.24
515,rio grande,-32.03,53.04,99.0,100.0,3.29
516,dolores,-33.53,39.09,81.0,0.0,5.3
517,buraydah,26.33,89.6,29.0,0.0,13.87
518,kaseda,31.42,86.0,66.0,75.0,3.36
519,calama,-22.46,44.6,39.0,0.0,11.41
520,kirovskiy,45.09,78.24,88.0,92.0,3.18
521,tocopilla,-22.09,55.92,97.0,48.0,1.95
522,iracoubo,5.48,77.7,84.0,48.0,4.63
523,mezen,65.85,72.48,51.0,0.0,7.31
524,polo,15.9,73.74,100.0,92.0,2.62
525,tungor,53.39,63.75,89.0,8.0,8.99
526,tazovskiy,67.47,67.98,47.0,8.0,13.69
527,hofn,64.25,48.72,100.0,92.0,8.1
528,yerbogachen,61.28,57.63,50.0,76.0,3.74
529,avila,38.91,74.19,94.0,90.0,6.93
530,edinburg,26.3,84.56,66.0,1.0,9.17
531,impfondo,1.62,71.31,96.0,24.0,3.18
